YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CANCELLED
2017,12,1,12/1/17,WN,4040,10821,1082104,30852,BWI,10792,1079204,30792,BUF,1240,1241,1,1345,1344,0,0
2017,12,1,12/1/17,WN,1491,10821,1082104,30852,BWI,12391,1239102,31703,ISP,1400,1411,11,1505,1559,54,0
2017,12,1,12/1/17,WN,2071,10821,1082104,30852,BWI,12391,1239102,31703,ISP,2230,2225,0,2340,2320,0,0
2017,12,1,12/1/17,WN,5667,10821,1082104,30852,BWI,12391,1239102,31703,ISP,1820,1812,0,1925,1918,0,0
2017,12,1,12/1/17,WN,5975,10821,1082104,30852,BWI,12391,1239102,31703,ISP,1520,1515,0,1625,1611,0,0
2017,12,1,12/1/17,WN,467,10821,1082104,30852,BWI,14576,1457604,34576,ROC,1045,1040,0,1155,1148,0,0
2017,12,1,12/1/17,WN,584,10821,1082104,30852,BWI,14576,1457604,34576,ROC,2230,2224,0,2345,2327,0,0
2017,12,1,12/1/17,WN,4584,10821,1082104,30852,BWI,14576,1457604,34576,ROC,1550,1602,12,1700,1701,1,0
2017,12,1,12/1/17,WN,1604,11259,1125903,30194,DAL,12953,1295302,31703,LGA,1435,1525,50,1850,1952,62,0
2017,12,1,12/1/17,WN,1774,11259,1125903,30194,DAL,12953,1295302,31703,LGA,1020,1020,0,1430,1428,0,0
2017,12,1,12/1/17,WN,2027,11259,1125903,30194,DAL,12953,1295302,31703,LGA,620,619,0,1035,1024,0,0
2017,12,1,12/1/17,WN,6224,11259,1125903,30194,DAL,12953,1295302,31703,LGA,1815,1839,24,2230,2310,40,0
2017,12,1,12/1/17,WN,5814,11292,1129202,30325,DEN,10257,1025702,30257,ALB,1810,1804,0,2345,2326,0,0
2017,12,1,12/1/17,WN,1667,11292,1129202,30325,DEN,12953,1295302,31703,LGA,1030,1030,0,1610,1605,0,0
2017,12,1,12/1/17,WN,1760,11292,1129202,30325,DEN,12953,1295302,31703,LGA,1745,1748,3,2325,2317,0,0
2017,12,1,12/1/17,WN,5969,11697,1169704,32467,FLL,10257,1025702,30257,ALB,1005,1000,0,1300,1255,0,0
2017,12,1,12/1/17,WN,4027,11697,1169704,32467,FLL,10792,1079204,30792,BUF,1420,1415,0,1720,1715,0,0
2017,12,1,12/1/17,WN,1895,11697,1169704,32467,FLL,12391,1239102,31703,ISP,1020,1014,0,1305,1254,0,0
2017,12,1,12/1/17,WN,337,12191,1219102,31453,HOU,12953,1295302,31703,LGA,1210,1201,0,1630,1626,0,0
2017,12,1,12/1/17,WN,742,12191,1219102,31453,HOU,12953,1295302,31703,LGA,1830,1830,0,2245,2304,19,0
2017,12,1,12/1/17,WN,950,12191,1219102,31453,HOU,12953,1295302,31703,LGA,905,903,0,1325,1329,4,0
2017,12,1,12/1/17,WN,400,12391,1239102,31703,ISP,10821,1082104,30852,BWI,1440,1440,0,1555,1545,0,0
2017,12,1,12/1/17,WN,488,12391,1239102,31703,ISP,10821,1082104,30852,BWI,605,600,0,720,708,0,0
2017,12,1,12/1/17,WN,933,12391,1239102,31703,ISP,10821,1082104,30852,BWI,1730,1721,0,1845,1822,0,0
2017,12,1,12/1/17,WN,1019,12391,1239102,31703,ISP,10821,1082104,30852,BWI,855,854,0,1010,959,0,0
2017,12,1,12/1/17,WN,1807,12391,1239102,31703,ISP,11697,1169704,32467,FLL,505,501,0,810,748,0,0
2017,12,1,12/1/17,WN,940,12391,1239102,31703,ISP,13204,1320402,31454,MCO,1815,1813,0,2100,2038,0,0
2017,12,1,12/1/17,WN,1015,12391,1239102,31703,ISP,13204,1320402,31454,MCO,600,556,0,850,832,0,0
2017,12,1,12/1/17,WN,5646,12391,1239102,31703,ISP,13204,1320402,31454,MCO,1240,1237,0,1530,1507,0,0
2017,12,1,12/1/17,WN,1962,12391,1239102,31703,ISP,14027,1402702,34027,PBI,630,629,0,925,909,0,0
2017,12,1,12/1/17,WN,4101,12391,1239102,31703,ISP,14027,1402702,34027,PBI,1645,1647,2,1945,1921,0,0
2017,12,1,12/1/17,WN,5974,12391,1239102,31703,ISP,15304,1530402,33195,TPA,1340,1337,0,1640,1641,1,0
2017,12,1,12/1/17,WN,1935,12889,1288903,32211,LAS,10792,1079204,30792,BUF,1720,1721,1,35,17,0,0
2017,12,1,12/1/17,WN,1188,12953,1295302,31703,LGA,10397,1039705,30397,ATL,955,953,0,1245,1225,0,0
2017,12,1,12/1/17,WN,1518,12953,1295302,31703,LGA,10397,1039705,30397,ATL,630,626,0,910,844,0,0
2017,12,1,12/1/17,WN,5544,12953,1295302,31703,LGA,10397,1039705,30397,ATL,1345,1339,0,1620,1615,0,0
2017,12,1,12/1/17,WN,5854,12953,1295302,31703,LGA,10397,1039705,30397,ATL,1615,1614,0,1900,1840,0,0
2017,12,1,12/1/17,WN,6203,12953,1295302,31703,LGA,10397,1039705,30397,ATL,2030,2055,25,2315,2320,5,0
2017,12,1,12/1/17,WN,232,12953,1295302,31703,LGA,10693,1069302,30693,BNA,1135,1130,0,1315,1315,0,0
2017,12,1,12/1/17,WN,355,12953,1295302,31703,LGA,10693,1069302,30693,BNA,730,723,0,905,833,0,0
2017,12,1,12/1/17,WN,543,12953,1295302,31703,LGA,10693,1069302,30693,BNA,1645,1658,13,1820,1813,0,0
2017,12,1,12/1/17,WN,320,12953,1295302,31703,LGA,11259,1125903,30194,DAL,1505,1512,7,1810,1804,0,0
2017,12,1,12/1/17,WN,684,12953,1295302,31703,LGA,11259,1125903,30194,DAL,600,600,0,900,834,0,0
2017,12,1,12/1/17,WN,5523,12953,1295302,31703,LGA,11259,1125903,30194,DAL,1035,1033,0,1350,1344,0,0
2017,12,1,12/1/17,WN,6481,12953,1295302,31703,LGA,11259,1125903,30194,DAL,1930,2031,61,2250,2322,32,0
2017,12,1,12/1/17,WN,1775,12953,1295302,31703,LGA,11292,1129202,30325,DEN,850,852,2,1135,1116,0,0
2017,12,1,12/1/17,WN,3712,12953,1295302,31703,LGA,11292,1129202,30325,DEN,1715,1711,0,1955,1932,0,0
2017,12,1,12/1/17,WN,40,12953,1295302,31703,LGA,12191,1219102,31453,HOU,1210,1206,0,1525,1531,6,0
2017,12,1,12/1/17,WN,1831,12953,1295302,31703,LGA,12191,1219102,31453,HOU,625,622,0,935,904,0,0
2017,12,1,12/1/17,WN,5906,12953,1295302,31703,LGA,12191,1219102,31453,HOU,1655,1655,0,2010,1939,0,0
2017,12,1,12/1/17,WN,349,12953,1295302,31703,LGA,13198,1319801,33198,MCI,1505,1505,0,1730,1730,0,0
2017,12,1,12/1/17,WN,357,12953,1295302,31703,LGA,13232,1323202,30977,MDW,950,945,0,1125,1103,0,0
2017,12,1,12/1/17,WN,884,12953,1295302,31703,LGA,13232,1323202,30977,MDW,2055,2140,45,2230,2252,22,0
2017,12,1,12/1/17,WN,1174,12953,1295302,31703,LGA,13232,1323202,30977,MDW,1215,1212,0,1350,1405,15,0
2017,12,1,12/1/17,WN,1178,12953,1295302,31703,LGA,13232,1323202,30977,MDW,1850,1858,8,2025,2016,0,0
2017,12,1,12/1/17,WN,1186,12953,1295302,31703,LGA,13232,1323202,30977,MDW,1605,1610,5,1740,1736,0,0
2017,12,1,12/1/17,WN,1875,12953,1295302,31703,LGA,13232,1323202,30977,MDW,600,557,0,725,708,0,0
2017,12,1,12/1/17,WN,686,12953,1295302,31703,LGA,13342,1334205,33342,MKE,1955,2028,33,2130,2200,30,0
2017,12,1,12/1/17,WN,2027,12953,1295302,31703,LGA,13342,1334205,33342,MKE,1105,1102,0,1240,1248,8,0
2017,12,1,12/1/17,WN,414,12953,1295302,31703,LGA,15016,1501604,31123,STL,725,722,0,920,842,0,0
2017,12,1,12/1/17,WN,4561,12953,1295302,31703,LGA,15016,1501604,31123,STL,1750,1822,32,1945,2006,21,0
2017,12,1,12/1/17,WN,5992,12953,1295302,31703,LGA,15016,1501604,31123,STL,1415,1409,0,1605,1600,0,0
2017,12,1,12/1/17,WN,1190,12953,1295302,31703,LGA,15304,1530402,33195,TPA,910,902,0,1225,1203,0,0
2017,12,1,12/1/17,WN,6303,12953,1295302,31703,LGA,15304,1530402,33195,TPA,1825,1827,2,2135,2115,0,0
2017,12,1,12/1/17,WN,1802,13198,1319801,33198,MCI,12953,1295302,31703,LGA,1155,1150,0,1535,1524,0,0
